epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,241.043,0.50376,0.47688,0.95251,0.80785,0.74853,0.8686,0.80638,0.44901,0.92725,0.92306,0.00122463,0.00122463,0.00122463
43,246.631,0.4876,0.45315,0.93854,0.85752,0.82251,0.89919,0.81087,0.49951,0.81643,0.93332,0.00122401,0.00122401,0.00122401
44,251.866,0.49963,0.47646,0.92052,0.72639,0.84151,0.8464,0.75074,0.53758,1.09799,0.93456,0.00122339,0.00122339,0.00122339
45,256.541,0.49408,0.48288,0.92198,0.72345,0.74231,0.82157,0.75818,0.44175,1.0812,0.89801,0.00122277,0.00122277,0.00122277
46,261.94,0.53514,0.53458,0.95152,0.70009,0.86731,0.87532,0.81619,0.44727,1.02252,0.88774,0.00122216,0.00122216,0.00122216
47,267.206,0.50449,0.49003,0.9341,0.66757,0.85985,0.83307,0.73928,0.52437,1.03989,0.92248,0.00122154,0.00122154,0.00122154
48,272.028,0.51195,0.5229,0.92971,0.80022,0.62655,0.79146,0.74226,0.40637,1.08555,0.87457,0.00122092,0.00122092,0.00122092
49,277.532,0.48719,0.45208,0.94048,0.75751,0.89755,0.88532,0.8445,0.40361,0.92815,0.87987,0.0012203,0.0012203,0.0012203
50,282.358,0.50538,0.55253,0.94508,0.84779,0.88564,0.89747,0.84437,0.39553,0.72577,0.87337,0.00121968,0.00121968,0.00121968
51,287.576,0.46202,0.49345,0.91596,0.73551,0.7223,0.82581,0.77186,0.42062,1.04656,0.89296,0.00121906,0.00121906,0.00121906
52,292.994,0.47049,0.47693,0.9269,0.73347,0.80959,0.81336,0.75559,0.38443,0.90983,0.8807,0.00121844,0.00121844,0.00121844
53,297.722,0.48658,0.53743,0.92176,0.79765,0.79365,0.81761,0.74582,0.42991,0.97035,0.88547,0.00121783,0.00121783,0.00121783
54,302.95,0.47723,0.42763,0.91671,0.7855,0.84231,0.8397,0.77983,0.40537,0.89453,0.87642,0.00121721,0.00121721,0.00121721
55,308.402,0.47632,0.4207,0.92194,0.75682,0.78581,0.82644,0.7666,0.43799,0.96148,0.895,0.00121659,0.00121659,0.00121659
56,312.733,0.48114,0.43381,0.91491,0.65969,0.86699,0.82791,0.75299,0.43706,0.99041,0.88979,0.00121597,0.00121597,0.00121597
57,318.409,0.47649,0.45886,0.92426,0.72311,0.77026,0.8468,0.78689,0.43787,0.83901,0.88308,0.00121535,0.00121535,0.00121535
58,323.456,0.47875,0.47133,0.92043,0.59404,0.922,0.87303,0.8213,0.41767,0.86356,0.87345,0.00121473,0.00121473,0.00121473
