epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,186.712,0.48349,0.72246,0.858,0.79343,0.66783,0.82941,0.75782,0.44497,0.86494,0.85981,0.00119926,0.00119926,0.00119926
43,190.002,0.46859,0.66908,0.85007,0.72986,0.70993,0.82092,0.7411,0.47541,1.03262,0.87374,0.00119802,0.00119802,0.00119802
44,193.853,0.51678,0.72841,0.88471,0.70675,0.77452,0.84342,0.75796,0.45742,0.92607,0.85334,0.00119679,0.00119679,0.00119679
45,198.298,0.49211,0.63855,0.87818,0.69769,0.8208,0.86671,0.78181,0.48721,0.89762,0.86621,0.00119555,0.00119555,0.00119555
46,201.939,0.50389,0.64743,0.86248,0.80178,0.67976,0.78966,0.71537,0.45511,1.08393,0.85581,0.00119431,0.00119431,0.00119431
47,205.282,0.49488,0.63454,0.87113,0.85592,0.77292,0.84915,0.77185,0.47317,1.00088,0.85492,0.00119308,0.00119308,0.00119308
48,209.403,0.49755,0.62288,0.8834,0.75859,0.77292,0.86119,0.79666,0.42869,0.81862,0.84967,0.00119184,0.00119184,0.00119184
49,213.388,0.50046,0.65323,0.87604,0.76569,0.76231,0.81795,0.74906,0.46578,1.00013,0.86888,0.0011906,0.0011906,0.0011906
50,216.974,0.4879,0.63174,0.87366,0.70964,0.81419,0.81577,0.75383,0.39407,0.9634,0.85402,0.00118936,0.00118936,0.00118936
51,220.27,0.50135,0.63278,0.86638,0.72822,0.84277,0.86699,0.80556,0.4316,0.85325,0.85945,0.00118812,0.00118812,0.00118812
52,224.98,0.51504,0.66894,0.87413,0.74512,0.69209,0.74481,0.672,0.44132,1.42862,0.87882,0.00118689,0.00118689,0.00118689
53,228.722,0.48507,0.63368,0.87312,0.63957,0.83611,0.68684,0.62162,0.52284,1.58111,0.89951,0.00118565,0.00118565,0.00118565
54,232.432,0.49255,0.63272,0.87191,0.77497,0.61305,0.80895,0.72516,0.44057,0.84093,0.86636,0.00118441,0.00118441,0.00118441
55,235.633,0.48655,0.57748,0.86116,0.7438,0.66389,0.78004,0.72011,0.43566,0.94484,0.86778,0.00118317,0.00118317,0.00118317
56,240.388,0.48436,0.62295,0.87193,0.84316,0.68079,0.80153,0.7285,0.44663,1.17598,0.85727,0.00118194,0.00118194,0.00118194
57,244.116,0.485,0.59301,0.87213,0.79538,0.7154,0.73567,0.67164,0.45119,1.18804,0.86118,0.0011807,0.0011807,0.0011807
58,247.583,0.46939,0.57599,0.87976,0.55694,0.80625,0.68706,0.62676,0.44244,1.11409,0.86541,0.00117946,0.00117946,0.00117946
59,251.467,0.4799,0.56667,0.88446,0.64735,0.58958,0.67653,0.61883,0.45159,1.26608,0.87061,0.00117822,0.00117822,0.00117822
60,256.172,0.48661,0.57211,0.87473,0.56431,0.79127,0.74127,0.67763,0.4292,1.37414,0.8708,0.00117699,0.00117699,0.00117699
61,259.522,0.46645,0.57907,0.85729,0.66097,0.85972,0.74358,0.67565,0.43168,1.05543,0.87383,0.00117575,0.00117575,0.00117575
62,263.067,0.49721,0.55676,0.86103,0.61546,0.63333,0.65071,0.60224,0.45647,1.31134,0.8897,0.00117451,0.00117451,0.00117451
63,266.965,0.47794,0.53454,0.859,0.72446,0.60833,0.69522,0.64405,0.42301,1.25871,0.87465,0.00117327,0.00117327,0.00117327
64,271.122,0.48107,0.59113,0.86246,0.72616,0.67928,0.77634,0.71777,0.41592,1.13772,0.87553,0.00117204,0.00117204,0.00117204
65,274.792,0.45367,0.55645,0.86244,0.78086,0.67578,0.77122,0.71998,0.43264,1.01036,0.87155,0.0011708,0.0011708,0.0011708
66,277.999,0.47916,0.51991,0.88356,0.78703,0.64108,0.768,0.70997,0.39442,1.00653,0.85032,0.00116956,0.00116956,0.00116956
67,282.245,0.46935,0.57165,0.86424,0.62266,0.72146,0.69081,0.64229,0.39654,1.19302,0.84914,0.00116833,0.00116833,0.00116833
68,286.466,0.47065,0.52681,0.87039,0.61856,0.80176,0.71963,0.65079,0.42657,1.38663,0.85394,0.00116709,0.00116709,0.00116709
69,290.082,0.46409,0.55951,0.86705,0.61808,0.83369,0.7215,0.6632,0.43009,1.20606,0.84867,0.00116585,0.00116585,0.00116585
70,293.185,0.46701,0.46641,0.86943,0.8157,0.71762,0.83,0.75082,0.42311,0.81088,0.85058,0.00116461,0.00116461,0.00116461
71,298.166,0.46969,0.53244,0.86098,0.83509,0.68975,0.82688,0.77309,0.41174,0.77699,0.85752,0.00116337,0.00116337,0.00116337
72,301.845,0.47863,0.55175,0.87115,0.64311,0.7722,0.78111,0.72155,0.41891,1.04664,0.8784,0.00116214,0.00116214,0.00116214
73,304.985,0.4363,0.49897,0.84891,0.61739,0.82756,0.74896,0.70059,0.41432,1.17777,0.87338,0.0011609,0.0011609,0.0011609
74,308.729,0.44245,0.515,0.86998,0.79728,0.58989,0.77293,0.71548,0.42234,1.02615,0.87112,0.00115966,0.00115966,0.00115966
75,313.328,0.44016,0.48357,0.85625,0.83412,0.63889,0.76973,0.70044,0.43161,0.99429,0.8699,0.00115843,0.00115843,0.00115843
76,316.819,0.44442,0.54274,0.87409,0.57986,0.79987,0.76863,0.70729,0.40647,1.06598,0.85775,0.00115719,0.00115719,0.00115719
77,320.015,0.47269,0.5674,0.88291,0.55238,0.7361,0.72448,0.66969,0.39568,1.07542,0.85255,0.00115595,0.00115595,0.00115595
78,324.102,0.42211,0.51976,0.86548,0.66127,0.77158,0.75249,0.70254,0.37162,0.96873,0.85066,0.00115471,0.00115471,0.00115471
79,328.467,0.45093,0.52173,0.87812,0.62218,0.9022,0.80748,0.75366,0.38849,0.89308,0.84842,0.00115348,0.00115348,0.00115348
80,331.963,0.47175,0.50928,0.8813,0.66405,0.87725,0.78088,0.72049,0.44311,0.92395,0.86201,0.00115224,0.00115224,0.00115224
81,335.191,0.41469,0.47526,0.84888,0.76688,0.66842,0.78474,0.74788,0.38857,0.74216,0.84733,0.001151,0.001151,0.001151
82,339.653,0.47651,0.48103,0.87888,0.83238,0.68434,0.84326,0.78296,0.39261,0.71136,0.85701,0.00114976,0.00114976,0.00114976
83,343.702,0.4169,0.44833,0.8495,0.86594,0.66179,0.83151,0.7524,0.42962,0.77949,0.86644,0.00114853,0.00114853,0.00114853
84,347.064,0.44238,0.51902,0.85722,0.84308,0.63184,0.83588,0.77673,0.41131,0.77365,0.85905,0.00114729,0.00114729,0.00114729
85,350.668,0.46189,0.50004,0.86636,0.86254,0.62005,0.84312,0.77393,0.42,0.79942,0.86425,0.00114605,0.00114605,0.00114605
86,355.351,0.39936,0.48244,0.84814,0.61854,0.80069,0.79107,0.72643,0.41896,0.98357,0.86154,0.00114481,0.00114481,0.00114481
87,359.312,0.41616,0.44748,0.84143,0.69769,0.70009,0.80263,0.74615,0.41007,0.97292,0.85882,0.00114357,0.00114357,0.00114357
88,362.773,0.43246,0.44148,0.85806,0.62033,0.80804,0.80649,0.76014,0.39623,0.90352,0.84665,0.00114234,0.00114234,0.00114234
89,366.169,0.47087,0.4992,0.87822,0.77855,0.65368,0.82142,0.75848,0.41388,0.98339,0.85028,0.0011411,0.0011411,0.0011411
90,370.82,0.4211,0.47745,0.85568,0.74568,0.62133,0.76801,0.705,0.41034,1.1192,0.8463,0.00113986,0.00113986,0.00113986
91,374.416,0.42777,0.51053,0.87425,0.7615,0.63333,0.74291,0.68664,0.39204,1.20015,0.85446,0.00113863,0.00113863,0.00113863
92,377.654,0.42225,0.50202,0.868,0.79322,0.63958,0.79681,0.73015,0.42127,0.90896,0.86348,0.00113739,0.00113739,0.00113739
93,380.709,0.42676,0.49379,0.85906,0.86038,0.73868,0.85144,0.77973,0.4412,0.71138,0.86848,0.00113615,0.00113615,0.00113615
94,385.582,0.45393,0.54476,0.86307,0.80227,0.74371,0.77959,0.72411,0.42783,0.95467,0.87028,0.00113491,0.00113491,0.00113491
95,389.345,0.46157,0.50237,0.87354,0.76945,0.73332,0.83345,0.77373,0.40957,1.09487,0.86029,0.00113368,0.00113368,0.00113368
96,392.828,0.43518,0.47403,0.85415,0.73977,0.69167,0.7841,0.73443,0.41419,1.15935,0.85007,0.00113244,0.00113244,0.00113244
