epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,117.944,0.55269,0.92065,0.88583,0.92262,0.66667,0.96167,0.83972,0.59603,1.09638,0.90889,0.00122401,0.00122401,0.00122401
44,119.84,0.60495,1.2128,0.94332,0.98368,0.66667,0.995,0.87813,0.59516,0.94218,0.91724,0.00122339,0.00122339,0.00122339
45,121.608,0.54925,0.89408,0.89384,0.9852,0.66667,0.995,0.89379,0.57552,0.86409,0.93111,0.00122277,0.00122277,0.00122277
46,123.542,0.49373,0.89784,0.89543,0.96371,1,0.995,0.86136,0.64487,0.70849,0.97388,0.00122216,0.00122216,0.00122216
47,125.372,0.50347,0.81234,0.87321,0.94493,1,0.995,0.83474,0.58147,0.70393,0.94497,0.00122154,0.00122154,0.00122154
48,128.127,0.53961,0.83437,0.87162,0.95866,0.99468,0.995,0.85102,0.58595,0.68969,0.93661,0.00122092,0.00122092,0.00122092
49,130.839,0.60394,0.94361,0.98246,0.94079,0.99478,0.995,0.86593,0.61591,0.6625,0.94871,0.0012203,0.0012203,0.0012203
50,132.747,0.69385,1.01796,0.96689,0.95448,1,0.995,0.89158,0.56168,0.63262,0.92219,0.00121968,0.00121968,0.00121968
51,134.672,0.55708,0.81788,0.87572,0.92186,0.9463,0.995,0.9024,0.53065,0.69373,0.91859,0.00121906,0.00121906,0.00121906
52,136.525,0.48489,0.78682,0.88202,0.86566,1,0.995,0.87884,0.51309,0.6416,0.91407,0.00121844,0.00121844,0.00121844
53,138.289,0.51903,0.79684,0.89535,0.80691,1,0.995,0.90024,0.45709,0.57294,0.89787,0.00121783,0.00121783,0.00121783
54,140.187,0.51181,0.78263,0.87967,0.95129,1,0.995,0.88124,0.55581,0.51597,0.92366,0.00121721,0.00121721,0.00121721
55,142.935,0.55425,0.85722,0.89109,0.86454,0.97481,0.995,0.83393,0.64193,0.5889,0.96,0.00121659,0.00121659,0.00121659
56,145.736,0.60745,0.78339,0.92128,0.78584,0.91667,0.97833,0.87199,0.58461,0.68744,0.99783,0.00121597,0.00121597,0.00121597
57,147.639,0.4951,0.8211,0.85717,0.72051,0.99131,0.97833,0.89614,0.46998,0.60772,0.93068,0.00121535,0.00121535,0.00121535
58,149.469,0.55193,0.86837,0.92127,0.85535,0.91667,0.96722,0.86796,0.56799,0.625,0.91791,0.00121473,0.00121473,0.00121473
59,151.339,0.54406,0.77967,0.90094,0.91223,0.91667,0.97833,0.85382,0.54827,0.58919,0.91369,0.00121411,0.00121411,0.00121411
60,153.224,0.48806,0.73623,0.8908,0.70982,1,0.995,0.90371,0.46867,0.56166,0.88754,0.00121349,0.00121349,0.00121349
61,155.044,0.48476,0.73593,0.89611,0.97366,0.66667,0.995,0.87112,0.53676,0.67068,0.90935,0.00121287,0.00121287,0.00121287
62,158.311,0.51784,0.82437,0.89593,0.96249,1,0.995,0.83482,0.63574,0.48039,0.93564,0.00121226,0.00121226,0.00121226
63,160.555,0.51506,0.80106,0.8798,0.93272,1,0.995,0.8627,0.53146,0.50401,0.91547,0.00121164,0.00121164,0.00121164
64,162.384,0.60661,0.83492,0.92002,0.97867,0.66667,0.995,0.87197,0.49275,0.61578,0.91241,0.00121102,0.00121102,0.00121102
65,164.316,0.51669,0.77352,0.86671,0.86925,0.66163,0.97833,0.82967,0.67338,0.79327,1.01457,0.0012104,0.0012104,0.0012104
66,166.281,0.55944,0.72234,0.89195,0.86788,0.65992,0.58963,0.50029,0.57809,1.04818,0.95987,0.00120978,0.00120978,0.00120978
67,168.074,0.48393,0.9034,0.88075,0.92182,0.66667,0.60705,0.52854,0.50073,0.88506,0.91834,0.00120916,0.00120916,0.00120916
68,170.233,0.55258,0.71495,0.87861,0.92345,0.66667,0.97833,0.84662,0.60853,0.78764,0.93204,0.00120854,0.00120854,0.00120854
69,173.391,0.5136,0.93534,0.88196,0.71627,1,0.995,0.79581,0.69648,0.61237,1.01132,0.00120793,0.00120793,0.00120793
70,175.844,0.57678,0.73756,0.92648,0.88179,1,0.97833,0.81088,0.642,0.55584,0.97412,0.00120731,0.00120731,0.00120731
71,177.67,0.55622,1.06174,0.9133,0.83426,1,0.96167,0.79011,0.5801,0.59198,0.92796,0.00120669,0.00120669,0.00120669
72,179.663,0.53527,0.7595,0.90634,0.81664,1,0.97833,0.82982,0.55943,0.56443,0.92377,0.00120607,0.00120607,0.00120607
73,181.566,0.43093,0.6545,0.86732,0.9117,0.66667,0.92867,0.80775,0.56257,0.6169,0.91999,0.00120545,0.00120545,0.00120545
74,183.434,0.50368,0.74041,0.88528,0.92159,0.66667,0.65228,0.56062,0.61543,0.72399,0.9309,0.00120483,0.00120483,0.00120483
75,185.889,0.4964,0.80268,0.87429,0.925,0.66667,0.63017,0.52008,0.72376,0.81259,1.03356,0.00120421,0.00120421,0.00120421
76,189.065,0.50195,0.61477,0.87597,0.92247,0.66667,0.70756,0.61064,0.6348,0.76685,1.07162,0.00120359,0.00120359,0.00120359
77,190.914,0.50993,0.69967,0.87141,0.92074,0.66667,0.70756,0.61213,0.61177,0.75816,1.07699,0.00120298,0.00120298,0.00120298
78,192.88,0.5513,0.73189,0.9262,0.97877,1,0.995,0.8263,0.65209,0.49419,1.09287,0.00120236,0.00120236,0.00120236
79,194.709,0.46382,0.59962,0.89002,0.95931,1,0.995,0.81382,0.68746,0.461,1.14012,0.00120174,0.00120174,0.00120174
80,196.819,0.48263,0.64232,0.88817,0.91339,0.98043,0.995,0.80697,0.72797,0.51372,1.09647,0.00120112,0.00120112,0.00120112
81,198.697,0.51331,0.76486,0.88692,0.95255,1,0.995,0.83366,0.66029,0.49104,0.96302,0.0012005,0.0012005,0.0012005
82,201.797,0.51789,0.63625,0.8847,0.9806,0.66667,0.995,0.86375,0.50511,0.54021,0.90103,0.00119988,0.00119988,0.00119988
83,204.519,0.53112,0.64586,0.8964,0.98611,0.66667,0.70479,0.64907,0.45207,0.63088,0.89662,0.00119926,0.00119926,0.00119926
84,206.579,0.51211,0.67258,0.86027,0.98541,0.66667,0.995,0.8763,0.51647,0.64414,0.92028,0.00119864,0.00119864,0.00119864
85,208.645,0.54013,0.90432,0.89673,0.95724,0.66667,0.82917,0.73439,0.54101,0.70837,0.93593,0.00119802,0.00119802,0.00119802
86,210.627,0.55536,0.70498,0.87472,0.85668,1,0.995,0.91468,0.48537,0.52787,0.92692,0.00119741,0.00119741,0.00119741
87,212.519,0.50322,0.69198,0.90051,0.96654,1,0.995,0.87216,0.51291,0.51417,0.95172,0.00119679,0.00119679,0.00119679
88,215.249,0.47165,0.63987,0.86852,0.68787,0.999,0.82917,0.73541,0.56708,0.57773,1.03532,0.00119617,0.00119617,0.00119617
89,218.458,0.50925,0.66766,0.87204,0.73219,1,0.82917,0.72144,0.60651,0.52105,1.0686,0.00119555,0.00119555,0.00119555
90,220.542,0.48751,0.68481,0.88162,0.97388,1,0.995,0.86301,0.57187,0.38008,1.00022,0.00119493,0.00119493,0.00119493
91,222.399,0.5146,0.61848,0.90168,0.98329,1,0.995,0.87398,0.55878,0.38296,0.97083,0.00119431,0.00119431,0.00119431
92,224.438,0.51792,0.68115,0.87158,0.76206,1,0.995,0.87546,0.60093,0.5944,0.96552,0.00119369,0.00119369,0.00119369
93,226.394,0.488,0.60797,0.85797,0.79586,1,0.995,0.84697,0.64357,0.55566,0.97366,0.00119308,0.00119308,0.00119308
94,228.388,0.48034,0.57104,0.87762,0.97566,0.66667,0.82917,0.71156,0.51663,0.70381,0.90347,0.00119246,0.00119246,0.00119246
95,231.097,0.50478,0.72324,0.89547,0.97158,0.66667,0.77389,0.65893,0.5071,0.65324,0.9089,0.00119184,0.00119184,0.00119184
96,234.124,0.51612,0.62461,0.8633,0.84632,1,0.995,0.84088,0.54361,0.44098,0.92048,0.00119122,0.00119122,0.00119122
97,235.983,0.48112,0.60134,0.89265,0.91266,1,0.995,0.84849,0.5162,0.39318,0.90753,0.0011906,0.0011906,0.0011906
98,237.922,0.49408,0.60675,0.89889,0.91374,0.99306,0.995,0.85697,0.58188,0.42563,0.931,0.00118998,0.00118998,0.00118998
99,239.736,0.44539,0.5302,0.85459,0.8873,1,0.995,0.84082,0.61611,0.4428,0.93619,0.00118936,0.00118936,0.00118936
100,241.755,0.40424,0.5107,0.86195,0.91549,0.98736,0.995,0.86029,0.57069,0.39173,0.91272,0.00118874,0.00118874,0.00118874
101,243.681,0.48627,0.57686,0.86448,0.96724,0.96677,0.995,0.8772,0.53568,0.41329,0.90542,0.00118812,0.00118812,0.00118812
102,246.691,0.42517,0.73649,0.88428,0.60649,1,0.995,0.87486,0.51493,0.51571,0.90293,0.00118751,0.00118751,0.00118751
103,249.19,0.46174,0.53418,0.87172,0.96699,0.66667,0.995,0.86662,0.52875,0.54672,0.90744,0.00118689,0.00118689,0.00118689
104,251.075,0.431,0.65595,0.85722,0.64571,1,0.98389,0.86807,0.57591,0.57208,0.9165,0.00118627,0.00118627,0.00118627
105,253.018,0.45606,0.55896,0.9085,0.63708,1,0.98389,0.85895,0.60851,0.67734,0.92776,0.00118565,0.00118565,0.00118565
106,254.859,0.48209,0.57966,0.88483,0.92229,0.6,0.96722,0.86551,0.54077,0.87625,0.91614,0.00118503,0.00118503,0.00118503
107,256.759,0.46555,0.64065,0.8622,0.88074,0.6,0.71417,0.63863,0.54141,1.09005,0.92062,0.00118441,0.00118441,0.00118441
108,258.857,0.45855,0.59307,0.84499,0.86787,0.6,0.64071,0.57272,0.50299,1.14146,0.90021,0.00118379,0.00118379,0.00118379
109,261.763,0.48965,0.67519,0.9289,0.87993,0.6,0.64517,0.57546,0.4952,1.03838,0.89886,0.00118317,0.00118317,0.00118317
110,263.991,0.50624,0.55051,0.90469,0.9656,0.66667,0.74625,0.67128,0.5015,0.6048,0.91458,0.00118256,0.00118256,0.00118256
111,265.719,0.43298,0.61169,0.86601,0.96194,0.66667,0.71861,0.64221,0.49688,0.65444,0.9126,0.00118194,0.00118194,0.00118194
112,267.572,0.4744,0.57941,0.89059,0.97707,0.66667,0.995,0.88938,0.49848,0.61013,0.90366,0.00118132,0.00118132,0.00118132
113,269.382,0.49108,0.51269,0.87914,0.9356,1,0.995,0.89633,0.52111,0.37213,0.91718,0.0011807,0.0011807,0.0011807
114,271.315,0.44608,0.50637,0.83792,0.97957,1,0.995,0.85992,0.50441,0.32508,0.91437,0.00118008,0.00118008,0.00118008
115,273.302,0.49672,0.55225,0.88815,0.97599,1,0.995,0.89303,0.48774,0.33808,0.91374,0.00117946,0.00117946,0.00117946
116,276.511,0.50352,0.51012,0.87672,0.97047,1,0.995,0.92738,0.48927,0.32252,0.91376,0.00117884,0.00117884,0.00117884
117,278.808,0.43346,0.51754,0.86563,0.97978,1,0.995,0.86436,0.52705,0.32633,0.92601,0.00117822,0.00117822,0.00117822
118,280.808,0.42722,0.46472,0.86608,0.9336,1,0.995,0.88546,0.5167,0.41498,0.91836,0.00117761,0.00117761,0.00117761
119,282.757,0.46388,0.56577,0.88406,0.72514,1,0.995,0.89178,0.50081,0.47789,0.90997,0.00117699,0.00117699,0.00117699
120,284.635,0.43893,0.52364,0.85728,0.84005,1,0.995,0.88145,0.49454,0.46211,0.90495,0.00117637,0.00117637,0.00117637
121,286.51,0.45064,0.4914,0.88008,0.89131,1,0.995,0.87268,0.46964,0.41209,0.89981,0.00117575,0.00117575,0.00117575
122,288.93,0.41752,0.49369,0.87232,0.84958,1,0.995,0.91371,0.51445,0.42689,0.92272,0.00117513,0.00117513,0.00117513
123,291.926,0.44327,0.50244,0.86788,0.77748,1,0.995,0.90834,0.61182,0.49241,1.0533,0.00117451,0.00117451,0.00117451
124,293.838,0.4261,0.46027,0.87517,0.9861,0.66667,0.995,0.86892,0.69842,0.66824,1.15403,0.00117389,0.00117389,0.00117389
125,295.684,0.41046,0.43936,0.85151,0.99224,0.66667,0.995,0.87564,0.66712,0.68863,1.14071,0.00117327,0.00117327,0.00117327
126,297.561,0.37562,0.48257,0.85608,0.88082,1,0.995,0.88774,0.6172,0.5489,1.16103,0.00117266,0.00117266,0.00117266
127,299.436,0.57376,0.529,0.9833,0.8928,1,0.995,0.85574,0.63114,0.5426,1.17742,0.00117204,0.00117204,0.00117204
128,301.263,0.49521,0.49225,0.87805,0.94597,1,0.995,0.83694,0.683,0.49174,1.12258,0.00117142,0.00117142,0.00117142
129,303.58,0.48753,0.48559,0.91273,0.97534,1,0.995,0.841,0.60138,0.4835,0.9871,0.0011708,0.0011708,0.0011708
130,306.65,0.50649,0.54507,0.90914,0.86363,0.97883,0.995,0.85052,0.55818,0.47538,0.93992,0.00117018,0.00117018,0.00117018
131,308.46,0.46938,0.50785,0.87996,0.8685,0.85741,0.995,0.8413,0.5814,0.47739,0.93369,0.00116956,0.00116956,0.00116956
132,310.433,0.45948,0.5296,0.89753,0.83767,0.97705,0.995,0.87475,0.58838,0.50312,0.93315,0.00116894,0.00116894,0.00116894
133,312.287,0.43808,0.48741,0.87762,0.7977,1,0.995,0.91476,0.52586,0.53662,0.91751,0.00116833,0.00116833,0.00116833
134,314.134,0.43507,0.4997,0.87015,0.93505,0.94166,0.995,0.90597,0.54977,0.51842,0.92576,0.00116771,0.00116771,0.00116771
135,315.973,0.42726,0.5111,0.86315,0.94951,0.96214,0.995,0.90625,0.6195,0.47931,0.94843,0.00116709,0.00116709,0.00116709
136,318.46,0.47939,0.51528,0.88951,0.97613,1,0.995,0.88154,0.5395,0.37477,0.93037,0.00116647,0.00116647,0.00116647
137,321.404,0.4528,0.51604,0.87298,0.97729,1,0.995,0.89168,0.48318,0.37168,0.91844,0.00116585,0.00116585,0.00116585
138,323.248,0.47774,0.4776,0.88224,0.98011,1,0.995,0.87675,0.54747,0.40935,0.96369,0.00116523,0.00116523,0.00116523
139,325.135,0.43221,0.44077,0.84856,0.98192,1,0.995,0.86957,0.58841,0.40392,0.99587,0.00116461,0.00116461,0.00116461
140,327.005,0.40948,0.43519,0.85625,0.97875,1,0.995,0.89974,0.54808,0.34356,1.02548,0.00116399,0.00116399,0.00116399
141,328.912,0.42964,0.47282,0.82658,0.97255,1,0.995,0.88063,0.49175,0.39071,0.97719,0.00116337,0.00116337,0.00116337
